pid,spd,n,model,ks,ks_single,dip_p,pi,ve,ae,t0e,vr,ar,t0r,express_mode,reg_mode,v,a,t0
CMT001,0,80,single,0.0801,0.0801,,,,,,,,,,,14.433,1.455,110
CMT0011,0,109,single,0.0523,0.0523,,,,,,,,,,,11.395,1.4517,70
CMT0012,0,96,single,0.1221,0.1221,,,,,,,,,,,10.695,0.5429,70
CMT0014,0,99,single,0.107,0.107,,,,,,,,,,,16.87,1.519,79
CMT0015,0,114,single,0.0915,0.0915,,,,,,,,,,,9.864,0.4595,125
CMT0016,0,109,single,0.0995,0.0995,,,,,,,,,,,11.811,1.1072,70
CMT0017,0,113,mixture,0.0431,0.1015,,0.749,20.0,1.4681,96,15.786,1.948,96,169,219,,,
CMT002,0,116,single,0.0839,0.0839,,,,,,,,,,,7.489,0.4405,114
CMT003,0,116,mixture,0.0602,0.1168,,0.225,20.0,0.8402,97,17.505,1.642,97,139,191,,,
CMT004,0,112,mixture,0.038,0.1455,,0.382,18.121,0.8791,92,20.0,1.6455,102,140,184,,,
CMT005,0,108,single,0.0829,0.0829,,,,,,,,,,,10.054,0.8056,117
CMT006,0,102,mixture,0.067,0.1058,,0.382,20.0,1.5725,71,9.702,0.8135,123,150,207,,,
CMT007,0,109,single,0.0899,0.0899,,,,,,,,,,,10.998,1.0992,70
CMT008,0,110,single,0.0804,0.0804,,,,,,,,,,,4.749,0.5981,70
CMT009,0,109,single,0.1317,0.1317,,,,,,,,,,,5.993,0.642,70
CMT010,0,118,single,0.0463,0.0463,,,,,,,,,,,13.333,1.4858,70
CMT001,75,90,single,0.0903,0.0903,,,,,,,,,,,15.891,2.5,72
CMT0011,75,99,single,0.0953,0.0953,,,,,,,,,,,12.016,1.7208,70
CMT0012,75,91,single,0.1304,0.1304,,,,,,,,,,,20.0,0.8897,70
CMT0014,75,107,single,0.0686,0.0686,,,,,,,,,,,13.712,1.2197,88
CMT0015,75,114,single,0.072,0.072,,,,,,,,,,,8.505,0.4002,132
CMT0016,75,109,single,0.0888,0.0888,,,,,,,,,,,12.584,1.197,70
CMT0017,75,117,single,0.0912,0.0912,,,,,,,,,,,12.846,1.6511,70
CMT002,75,112,mixture,0.0626,0.1041,,0.479,8.482,0.3777,115,15.885,2.4134,70,160,222,,,
CMT003,75,115,mixture,0.0447,0.1365,,0.285,10.194,0.6078,87,19.257,2.3716,70,146,193,,,
CMT004,75,114,mixture,0.0513,0.1283,,0.578,14.337,0.9921,70,20.0,2.0331,86,139,188,,,
CMT005,75,109,single,0.0539,0.0539,,,,,,,,,,,12.02,1.4805,70
CMT006,75,96,mixture,0.0552,0.1004,,0.577,20.0,1.6671,70,20.0,2.4948,81,153,206,,,
CMT007,75,110,mixture,0.0482,0.1151,,0.504,9.953,0.9066,70,20.0,2.2869,86,161,200,,,
CMT008,75,105,mixture,0.0411,0.1141,,0.637,6.797,0.6406,81,13.247,2.5,81,175,270,,,
CMT009,75,112,single,0.0778,0.0778,,,,,,,,,,,7.046,0.8063,70
CMT010,75,117,single,0.0915,0.0915,,,,,,,,,,,10.335,1.3052,70
CMT001,150,79,single,0.0857,0.0857,,,,,,,,,,,16.784,2.5,89
CMT0011,150,104,single,0.106,0.106,,,,,,,,,,,11.345,1.6328,70
CMT0012,150,88,mixture,0.0587,0.1749,,0.852,15.969,0.3544,94,12.09,1.7458,70,116,214,,,
CMT0014,150,111,single,0.0559,0.0559,,,,,,,,,,,12.572,1.4163,70
CMT0015,150,115,single,0.0621,0.0621,,,,,,,,,,,15.294,1.7237,70
CMT0016,150,117,single,0.0909,0.0909,,,,,,,,,,,12.198,1.2284,70
CMT0017,150,113,single,0.0836,0.0836,,,,,,,,,,,12.395,1.3478,89
CMT002,150,113,single,0.0822,0.0822,,,,,,,,,,,8.715,1.1166,70
CMT003,150,115,mixture,0.0736,0.1014,,0.139,15.671,0.9486,75,14.181,1.1773,109,135,192,,,
CMT004,150,113,mixture,0.0504,0.1299,,0.588,8.78,0.4186,98,17.734,1.4589,110,146,192,,,
CMT005,150,110,single,0.0677,0.0677,,,,,,,,,,,11.491,1.3263,82
CMT006,150,101,single,0.0871,0.0871,,,,,,,,,,,8.883,0.9584,70
CMT007,150,112,mixture,0.0916,0.1314,,0.276,12.44,0.8935,70,15.0,1.4221,103,142,198,,,
CMT008,150,109,mixture,0.0482,0.1177,,0.595,6.861,0.5859,90,13.58,2.5,90,175,274,,,
CMT009,150,110,single,0.1584,0.1584,,,,,,,,,,,6.748,0.7585,70
CMT010,150,117,mixture,0.0887,0.1302,,0.527,20.0,1.5119,109,20.0,2.3914,109,185,229,,,
