pid,spd,n,t0_fixed_ms,v,a,ks
CMT001,0,80,70,17.181,2.412,0.0888
CMT0011,0,109,70,11.395,1.4517,0.0523
CMT0012,0,96,70,10.695,0.5428,0.1221
CMT0014,0,99,70,17.726,1.7551,0.1085
CMT0015,0,114,70,16.01,1.6164,0.1103
CMT0016,0,109,70,11.811,1.1072,0.0995
CMT002,0,116,70,11.294,1.1408,0.1092
CMT005,0,108,70,13.123,1.6657,0.0822
CMT007,0,109,70,10.998,1.0992,0.0899
CMT008,0,110,70,4.749,0.5981,0.0804
CMT009,0,109,70,5.993,0.642,0.1317
CMT010,0,118,70,13.333,1.4858,0.0463
CMT001,75,90,70,15.657,2.5,0.0899
CMT0011,75,99,70,12.015,1.7208,0.0953
CMT0012,75,91,70,20.0,0.8995,0.1301
CMT0014,75,107,70,15.005,1.5949,0.0729
CMT0015,75,114,70,14.391,1.5615,0.1141
CMT0016,75,109,70,12.584,1.197,0.0888
CMT0017,75,117,70,12.846,1.6511,0.0912
CMT005,75,109,70,12.02,1.4805,0.0539
CMT009,75,112,70,7.046,0.8063,0.0778
CMT010,75,117,70,10.335,1.3052,0.0915
CMT001,150,79,70,14.831,2.5,0.0814
CMT0011,150,104,70,11.345,1.6328,0.106
CMT0014,150,111,70,12.572,1.4163,0.0559
CMT0015,150,115,70,15.294,1.7237,0.0621
CMT0016,150,117,70,12.198,1.2283,0.0909
CMT0017,150,113,70,13.565,1.7289,0.0807
CMT002,150,113,70,8.715,1.1166,0.0822
CMT005,150,110,70,12.247,1.556,0.0696
CMT006,150,101,70,8.883,0.9584,0.0871
CMT009,150,110,70,6.748,0.7585,0.1584
