pid,t0_ms,t0_lo95,t0_hi95,ci_width_ms,n_cells,min_srt_ms,constraint
CMT001,71,70,82,12,3,132,well-constrained
CMT0011,71,70,75,5,3,81,well-constrained
CMT0012,71,70,73,3,2,85,well-constrained
CMT0014,71,70,76,6,3,80,well-constrained
CMT0015,71,70,78,8,3,81,well-constrained
CMT0016,71,70,74,4,3,84,well-constrained
CMT0017,71,70,79,9,2,90,well-constrained
CMT002,71,70,81,11,2,126,well-constrained
CMT005,71,70,76,6,3,82,well-constrained
CMT006,71,70,77,7,1,90,well-constrained
CMT007,71,70,76,6,1,84,well-constrained
CMT008,71,70,73,3,1,93,well-constrained
CMT009,70,70,72,2,3,81,well-constrained
CMT010,71,70,75,5,2,90,well-constrained
