pid,spd,n,model,v,a,t0,ks
CMT001,0,118,single,20.0,1.875,130,0.0818
CMT0011,0,119,single,8.67,0.6344,186,0.1107
CMT0012,0,119,single,7.679,0.5496,184,0.0623
CMT0014,0,120,single,14.229,1.0601,177,0.0641
CMT0015,0,120,single,8.216,0.8165,130,0.0711
CMT0016,0,119,single,12.048,1.0964,136,0.0684
CMT0017,0,120,single,9.646,0.8482,174,0.0612
CMT002,0,119,single,8.724,0.5945,165,0.0574
CMT003,0,120,single,8.999,0.755,171,0.0627
CMT004,0,120,single,16.574,1.3159,149,0.0574
CMT005,0,119,single,9.16,0.9911,179,0.0574
CMT006,0,118,single,9.686,0.8338,191,0.0478
CMT007,0,118,single,11.706,1.3129,171,0.0774
CMT008,0,120,single,12.458,0.5103,188,0.0603
CMT009,0,119,single,10.994,1.1732,151,0.0642
CMT010,0,120,single,15.209,1.2738,158,0.0587
CMT001,75,117,single,19.046,1.6387,130,0.0585
CMT0011,75,118,single,8.622,0.6587,168,0.0512
CMT0012,75,120,single,8.612,0.7142,160,0.0541
CMT0014,75,120,single,19.365,2.1439,130,0.0726
CMT0015,75,119,single,8.584,0.5605,151,0.0623
CMT0016,75,119,single,11.854,0.8159,149,0.0681
CMT0017,75,119,single,10.64,1.1882,154,0.0706
CMT002,75,116,single,14.668,1.2241,136,0.0695
CMT003,75,119,single,18.807,2.0279,130,0.074
CMT004,75,117,single,16.119,1.0953,151,0.0474
CMT005,75,117,single,9.506,1.2245,154,0.0758
CMT006,75,120,single,9.397,0.709,179,0.0586
CMT007,75,119,single,6.143,0.4988,198,0.0684
CMT008,75,120,single,14.438,0.9157,160,0.0508
CMT009,75,120,single,10.157,0.8806,161,0.0545
CMT010,75,119,single,8.755,0.4836,181,0.062
CMT001,150,115,single,13.906,1.2832,130,0.0732
CMT0011,150,117,single,7.6,0.5768,175,0.0701
CMT0012,150,120,single,8.583,0.9624,130,0.0573
CMT0014,150,117,single,8.583,0.8305,160,0.0553
CMT0015,150,119,single,8.328,0.475,152,0.0815
CMT0016,150,113,single,7.787,0.7205,130,0.0555
CMT0017,150,120,single,9.046,0.7173,187,0.0617
CMT002,150,116,single,16.762,1.6148,130,0.0787
CMT003,150,118,single,16.32,1.7398,130,0.0598
CMT004,150,119,single,12.064,1.0006,138,0.076
CMT005,150,119,single,4.553,0.741,178,0.1032
CMT006,150,120,single,8.695,0.9294,157,0.0676
CMT007,150,117,single,7.055,0.8231,158,0.1098
CMT008,150,115,single,20.0,1.6204,140,0.0594
CMT009,150,120,single,6.827,0.4533,177,0.0646
CMT010,150,118,single,7.321,0.8251,130,0.0744
