pid,spd,v,a,t0,t0_lo95,t0_hi95,conv_div,conv_rhat
CMT001,0,12.674,0.8329,161.0,151.0,170.0,0,1.007
CMT0011,0,8.68,0.754,175.0,164.0,187.0,0,1.007
CMT0012,0,6.892,0.61,175.0,162.0,186.0,0,1.007
CMT0014,0,11.643,1.0499,163.0,152.0,172.0,0,1.007
CMT0015,0,7.554,0.7537,130.0,121.0,137.0,0,1.007
CMT0016,0,8.712,0.6934,153.0,143.0,161.0,0,1.007
CMT0017,0,8.626,0.7994,172.0,160.0,182.0,0,1.007
CMT002,0,8.02,0.6472,158.0,147.0,168.0,0,1.007
CMT003,0,8.322,0.7532,168.0,156.0,179.0,0,1.007
CMT004,0,13.331,0.8935,162.0,152.0,171.0,0,1.007
CMT005,0,8.28,0.911,178.0,166.0,190.0,0,1.007
CMT006,0,9.063,0.8281,188.0,175.0,201.0,0,1.007
CMT007,0,9.318,0.8964,189.0,175.0,201.0,0,1.007
CMT008,0,12.075,0.7384,171.0,161.0,182.0,0,1.007
CMT009,0,7.948,0.7496,169.0,157.0,180.0,0,1.007
CMT010,0,11.852,0.8908,168.0,158.0,178.0,0,1.007
CMT001,75,13.768,0.8738,153.0,145.0,161.0,0,1.007
CMT0011,75,8.445,0.7991,152.0,142.0,162.0,0,1.007
CMT0012,75,8.018,0.7207,157.0,145.0,166.0,0,1.007
CMT0014,75,11.609,0.9137,165.0,154.0,175.0,0,1.007
CMT0015,75,8.424,0.6995,136.0,128.0,143.0,0,1.007
CMT0016,75,9.792,0.7067,149.0,140.0,157.0,0,1.007
CMT0017,75,8.098,1.128,130.0,119.0,137.0,0,1.007
CMT002,75,11.579,0.7872,153.0,142.0,161.0,0,1.007
CMT003,75,12.535,0.8791,169.0,158.0,179.0,0,1.007
CMT004,75,12.642,0.7922,159.0,150.0,168.0,0,1.007
CMT005,75,6.56,1.0136,129.0,117.0,137.0,0,1.007
CMT006,75,8.122,0.6975,175.0,164.0,187.0,0,1.007
CMT007,75,6.729,0.6964,180.0,167.0,193.0,0,1.007
CMT008,75,11.425,0.7007,165.0,155.0,174.0,0,1.007
CMT009,75,9.093,0.8296,159.0,148.0,167.0,0,1.007
CMT010,75,9.416,0.6793,167.0,156.0,178.0,0,1.007
CMT001,150,11.025,0.8847,142.0,131.0,150.0,0,1.007
CMT0011,150,7.324,0.655,166.0,155.0,177.0,0,1.007
CMT0012,150,6.445,0.7403,134.0,125.0,141.0,0,1.007
CMT0014,150,7.077,0.8881,137.0,128.0,143.0,0,1.007
CMT0015,150,8.994,0.6637,138.0,129.0,145.0,0,1.007
CMT0016,150,7.169,0.643,135.0,124.0,143.0,0,1.007
CMT0017,150,8.782,0.8131,177.0,165.0,188.0,0,1.007
CMT002,150,12.275,0.926,151.0,141.0,160.0,0,1.007
CMT003,150,11.86,0.9362,158.0,147.0,167.0,0,1.007
CMT004,150,9.018,0.7959,137.0,127.0,143.0,0,1.007
CMT005,150,4.656,0.9072,147.0,134.0,156.0,0,1.007
CMT006,150,7.112,0.7572,164.0,153.0,175.0,0,1.007
CMT007,150,5.703,0.8478,134.0,124.0,141.0,0,1.007
CMT008,150,13.567,1.1502,136.0,125.0,143.0,0,1.007
CMT009,150,7.665,0.6502,161.0,150.0,172.0,0,1.007
CMT010,150,5.91,0.6687,138.0,128.0,145.0,0,1.007
